CLAVE_CASILLA|CLAVE_ACTA|ID_ESTADO|ESTADO|ID_DISTRITO_LOCAL|DISTRITO_LOCAL|SECCION|ID_CASILLA|TIPO_CASILLA|EXT_CONTIGUA|UBICACION_CASILLA|TIPO_ACTA|TOTAL_BOLETAS_SOBRANTES|TOTAL_PERSONAS_VOTARON|TOTAL_REP_PARTIDO_CI_VOTARON|TOTAL_VOTOS_SACADOS|PAN|PRI|PRD|PVEM|PT|MC|MORENA|MAS|CXQROO|FXMQROO|CAND_IND_1|C_PAN_PRD_CQROO|C_PAN_PRD|C_PAN_CQROO|C_PRD_CQROO|C_PVEM_PT_MORENA_FXMQROO|C_PVEM_PT_MORENA|C_PVEM_PT_FXMQROO|C_PVEM_MORENA_FXMQROO|C_PT_MORENA_FXMQROO|C_PVEM_PT|C_PVEM_MORENA|C_PVEM_FXMQROO|C_PT_MORENA|C_PT_FXMQROO|C_MORENA_FXMQROO|NO_REGISTRADOS|NULOS|TOTAL_VOTOS_ASENTADO|TOTAL_VOTOS_CALCULADO|LISTA_NOMINAL|REPRESENTANTES_PP_CI|OBSERVACIONES|CONTABILIZADA|MECANISMOS_TRASLADO|CODIGO_INTEGRIDAD|FECHA_HORA_ACOPIO|FECHA_HORA_CAPTURA|FECHA_HORA_VERIFICACION|ORIGEN|DIGITALIZACION|TIPO_DOCUMENTO
"=""230085B0100"""|230085B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""085"""|1|B|0|1|2|352|110|7|110|11|3|3|23|2|15|35|8|4|2|-|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|3|110|110|449|7|ALGUN DATO ILEGIBLE O SIN DATO|1|F|8eb584d5d0866f8f09ebb8915de356ade5076d4e7c19ad7f0105651ae6e05fe0|2022-06-06 06:15:00|2022-06-06 06:55:57|2022-06-06 07:06:06|CATD|ESCANER|ACTA PREP
"=""230085C0100"""|230085C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""085"""|1|C|0|1|2|SIN DATO|SIN DATO|6|120|12|5|3|20|0|17|39|5|SIN DATO|SIN DATO|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|18|120|120|449|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|24316ce017fe4b8497099415b602331fe7ec276af3732a0b32f97e7cc0a5d185|2022-06-06 06:40:00|2022-06-06 07:36:54|2022-06-06 07:41:56|CATD|ESCANER|ACTA PREP
"=""230086B0100"""|230086B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""086"""|1|B|0|1|2|337|196|6|185|18|7|1|39|4|27|69|9|0|2|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|1|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|8|SIN DATO|185|518|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|84d12c7df346deb57a1af5fdafb30dc77c212efed5eade95348f605ca9b9311e|2022-06-06 06:33:00|2022-06-06 07:41:36|2022-06-06 07:43:32|CATD|ESCANER|ACTA PREP
"=""230086C0100"""|230086C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""086"""|1|C|0|1|2|390|142|6|SIN DATO|18|7|3|29|4|18|46|10|1|3|-|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|ILEGIBLE|SIN DATO|1|SIN DATO|SIN DATO|0|9|151|151|518|6|ALGUN DATO ILEGIBLE O SIN DATO|1|F|7e5a4553e06907cba4a16a7ddf48da7f740bf0790f7cb8c5db1fbea38a8ee240|2022-06-06 06:34:00|2022-06-06 07:24:20|2022-06-06 07:28:36|CATD|ESCANER|ACTA PREP
"=""230087B0100"""|230087B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""087"""|1|B|0|1|2|508|226|4|230|17|3|SIN DATO|87|1|24|62|10|3|3|-|SIN DATO|2|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|2|SIN DATO|1|SIN DATO|SIN DATO|0|15|230|230|718|4|ALGUN DATO ILEGIBLE O SIN DATO|1|F|ebf0e781c4c5b467a311ea9bc60d0dd533e0d700f6c59e546223b63f64cfb8c9|2022-06-06 06:07:00|2022-06-06 07:06:52|2022-06-06 07:16:33|CATD|ESCANER|ACTA PREP
"=""230088B0100"""|230088B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""088"""|1|B|0|1|2|361|211|7|211|19|12|1|80|5|20|48|6|1|1|-|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|0|193|553|7||1|F|ea53d53661eac3c3158c21acd57c80e833fc4c5555fa022bacf8f08e3f8f0f83|2022-06-05 22:28:41|2022-06-05 23:06:36|2022-06-05 23:10:23|CASILLA|MOVIL|ACTA PREP
"=""230089B0100"""|230089B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""089"""|1|B|0|1|2|329|219|7|SIN DATO|21|3|1|80|5|14|70|12|1|3|-|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|SIN DATO|9|219|219|530|7|ALGUN DATO ILEGIBLE O SIN DATO|1|I|26f2f4d13c689d4d0e9949fa607d5796126a3c3568c25422c150d89f260ba525|2022-06-06 04:33:00|2022-06-06 04:39:22|2022-06-06 04:41:48|CATD|ESCANER|ACTA PREP
"=""230090B0100"""|230090B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""090"""|1|B|0|1|2|364|264|8|272|29|7|2|67|6|18|78|29|3|8|-|3|1|0|0|0|0|0|0|0|0|1|0|0|0|0|3|17|272|272|616|8||1|I|f5f3bae048f0cedc50fe744694501860dbfea69e4542b725acfdc6afbb1a8050|2022-06-05 21:17:26|2022-06-05 20:26:53|2022-06-05 20:30:31|CASILLA|MOVIL|ACTA PREP
"=""230090C0100"""|230090C010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""090"""|1|C|0|1|2|389|242|4|246|30|4|3|62|8|13|71|30|1|4|-|2|0|0|0|0|1|0|0|0|0|1|0|0|0|0|4|11|246|245|615|4||1|I|100486309b0509479af02f43286e995c15a6dcd97101758f8c554fb72332ec87|2022-06-05 21:15:36|2022-06-05 21:48:33|2022-06-05 21:51:09|CASILLA|MOVIL|ACTA PREP
"=""230091B0100"""|230091B010002|23|QUINTANA ROO|"=""01"""|DISTRITO 01|"=""091"""|1|B|0|1|2|383|277|7|284|32|9|2|3|5|23|90|20|3|5|-|0|1|0|0|2|0|0|0|0|0|1|0|0|0|0|0|0|ILEGIBLE|196|647|7||1|I|5f058b68e77ea6b72cecc5d184c4f8c72b3a851c9725c562ad79c0de0eb5ee78|2022-06-06 04:53:00|2022-06-06 08:23:41|2022-06-06 08:24:22|CATD|ESCANER|ACTA PREP
